Tempo(s),PWM_Aplicado(%),RPM_M1_Raw,RPM_M1_Filt
2.4050,0,0.00,0.00
2.4100,0,0.00,0.00
2.4150,0,0.00,0.00
2.4200,0,0.00,0.00
2.4250,0,0.00,0.00
2.4300,0,0.00,0.00
2.4350,0,0.00,0.00
2.4400,0,0.00,0.00
2.4450,0,0.00,0.00
2.4500,0,0.00,0.00
2.4550,0,0.00,0.00
2.4600,0,0.00,0.00
2.4650,0,0.00,0.00
2.4700,0,0.00,0.00
2.4750,0,0.00,0.00
2.4800,0,0.00,0.00
2.4850,0,0.00,0.00
2.4900,0,0.00,0.00
2.4950,0,0.00,0.00
2.5000,0,0.00,0.00
2.5050,0,0.00,0.00
2.5100,0,0.00,0.00
2.5150,0,0.00,0.00
2.5200,0,0.00,0.00
2.5250,0,0.00,0.00
2.5300,0,0.00,0.00
2.5350,0,0.00,0.00
2.5400,0,0.00,0.00
2.5450,0,0.00,0.00
2.5500,0,0.00,0.00
2.5550,0,0.00,0.00
2.5600,0,0.00,0.00
2.5650,0,0.00,0.00
2.5700,0,0.00,0.00
2.5750,0,0.00,0.00
2.5800,0,0.00,0.00
2.5850,0,0.00,0.00
2.5900,0,0.00,0.00
2.5950,0,0.00,0.00
2.6000,0,0.00,0.00
2.6050,0,0.00,0.00
2.6100,0,0.00,0.00
2.6150,0,0.00,0.00
2.6200,0,0.00,0.00
2.6250,0,0.00,0.00
2.6300,0,0.00,0.00
2.6350,0,0.00,0.00
2.6400,0,0.00,0.00
2.6450,0,0.00,0.00
2.6500,0,0.00,0.00
2.6550,0,0.00,0.00
2.6600,0,0.00,0.00
2.6650,0,0.00,0.00
2.6700,0,0.00,0.00
2.6750,0,0.00,0.00
2.6800,0,0.00,0.00
2.6850,0,0.00,0.00
2.6900,0,0.00,0.00
2.6950,0,0.00,0.00
2.7000,0,0.00,0.00
2.7050,0,0.00,0.00
2.7100,0,0.00,0.00
2.7150,0,0.00,0.00
2.7200,0,0.00,0.00
2.7250,0,0.00,0.00
2.7300,0,0.00,0.00
2.7350,0,0.00,0.00
2.7400,0,0.00,0.00
2.7450,0,0.00,0.00
2.7500,0,0.00,0.00
2.7550,0,0.00,0.00
2.7600,0,0.00,0.00
2.7650,0,0.00,0.00
2.7700,0,0.00,0.00
2.7750,0,0.00,0.00
2.7800,0,0.00,0.00
2.7850,0,0.00,0.00
2.7900,0,0.00,0.00
2.7950,0,0.00,0.00
2.8000,0,0.00,0.00
2.8050,0,0.00,0.00
2.8100,0,0.00,0.00
2.8150,0,0.00,0.00
2.8200,0,0.00,0.00
2.8250,0,0.00,0.00
2.8300,0,0.00,0.00
2.8350,0,0.00,0.00
2.8400,0,0.00,0.00
2.8450,0,0.00,0.00
2.8500,0,0.00,0.00
2.8550,0,0.00,0.00
2.8600,0,0.00,0.00
2.8650,0,0.00,0.00
2.8700,0,0.00,0.00
2.8750,0,0.00,0.00
2.8800,0,0.00,0.00
2.8850,0,0.00,0.00
2.8900,0,0.00,0.00
2.8950,0,0.00,0.00
2.9000,0,0.00,0.00
2.9050,0,0.00,0.00
2.9100,0,0.00,0.00
2.9150,0,0.00,0.00
2.9200,0,0.00,0.00
2.9250,0,0.00,0.00
2.9300,0,0.00,0.00
2.9350,0,0.00,0.00
2.9400,0,0.00,0.00
2.9450,0,0.00,0.00
2.9500,0,0.00,0.00
2.9550,0,0.00,0.00
2.9600,0,0.00,0.00
2.9650,0,0.00,0.00
2.9700,0,0.00,0.00
2.9750,0,0.00,0.00
2.9800,0,0.00,0.00
2.9850,0,0.00,0.00
2.9900,0,0.00,0.00
2.9950,0,0.00,0.00
3.0000,40,0.00,0.00
3.0050,40,0.00,0.00
3.0100,40,0.00,0.00
3.0150,40,25.64,0.51
3.0200,40,25.64,2.35
3.0250,40,25.64,5.40
3.0300,40,25.64,8.98
3.0350,40,25.64,12.61
3.0400,40,51.28,16.50
3.0450,40,51.28,21.28
3.0500,40,51.28,26.75
3.0550,40,51.28,32.23
3.0600,40,51.28,37.28
3.0650,40,76.92,42.15
3.0700,40,76.92,47.56
3.0750,40,76.92,53.39
3.0800,40,51.28,58.50
3.0850,40,102.56,62.74
3.0900,40,76.92,67.12
3.0950,40,76.92,71.23
3.1000,40,102.56,74.83
3.1050,40,76.92,78.35
3.1100,40,102.56,81.51
3.1150,40,102.56,84.72
3.1200,40,102.56,88.21
3.1250,40,102.56,91.60
3.1300,40,102.56,94.66
3.1350,40,102.56,97.25
3.1400,40,128.21,99.86
3.1450,40,102.56,102.78
3.1500,40,102.56,105.15
3.1550,40,128.21,106.97
3.1600,40,128.21,109.34
3.1650,40,128.21,112.37
3.1700,40,128.21,115.58
3.1750,40,128.21,118.66
3.1800,40,128.21,121.40
3.1850,40,128.21,123.70
3.1900,40,128.21,125.54
3.1950,40,153.85,127.45
3.2000,40,128.21,129.77
3.2050,40,128.21,131.64
3.2100,40,153.85,133.08
3.2150,40,128.21,134.64
3.2200,40,153.85,136.16
3.2250,40,153.85,138.04
3.2300,40,128.21,139.99
3.2350,40,153.85,141.33
3.2400,40,153.85,142.68
3.2450,40,153.85,144.45
3.2500,40,153.85,146.33
3.2550,40,153.85,148.14
3.2600,40,153.85,149.76
3.2650,40,153.85,151.13
3.2700,40,153.85,152.23
3.2750,40,153.85,153.06
3.2800,40,179.49,154.17
3.2850,40,153.85,155.89
3.2900,40,153.85,157.34
3.2950,40,179.49,158.51
3.3000,40,153.85,159.91
3.3050,40,153.85,160.84
3.3100,40,179.49,161.39
3.3150,40,179.49,162.68
3.3200,40,153.85,164.34
3.3250,40,179.49,165.59
3.3300,40,153.85,166.48
3.3350,40,179.49,167.07
3.3400,40,153.85,167.41
3.3450,40,179.49,167.57
3.3500,40,179.49,168.12
3.3550,40,179.49,169.38
3.3600,40,153.85,170.49
3.3650,40,179.49,170.89
3.3700,40,179.49,171.32
3.3750,40,179.49,172.26
3.3800,40,179.49,173.44
3.3850,40,153.85,174.17
3.3900,40,179.49,174.03
3.3950,40,179.49,173.87
3.4000,40,179.49,174.21
3.4050,40,179.49,174.86
3.4100,40,179.49,175.65
