Tempo(s),PWM_Aplicado(%),RPM_M1,RPM_M1_Filt
0.9350,78,282.0500,293.1558
0.9400,78,282.0500,293.2068
0.9450,78,307.6900,293.2961
0.9500,78,282.0500,293.3889
0.9550,78,307.6900,293.4500
0.9600,78,282.0500,293.4593
0.9650,78,307.6900,293.4110
0.9700,78,282.0500,293.3141
0.9750,78,307.6900,293.1924
0.9800,78,282.0500,293.0855
0.9850,78,282.0500,293.0336
0.9900,78,307.6900,293.0463
0.9950,78,282.0500,293.1030
1.0000,78,307.6900,293.1850
1.0050,78,282.0500,293.2914
1.0100,78,282.0500,293.4217
1.0150,78,307.6900,293.5432
1.0200,78,307.6900,293.6053
1.0250,78,282.0500,293.6034
1.0300,78,282.0500,293.5781
1.0350,78,307.6900,293.5508
1.0400,78,282.0500,293.5072
1.0450,78,307.6900,293.4307
1.0500,78,282.0500,293.3181
1.0550,78,307.6900,293.1813
1.0600,78,282.0500,293.0475
1.0650,78,282.0500,292.9452
1.0700,78,307.6900,292.8723
1.0750,78,282.0500,292.7978
1.0800,78,307.6900,292.6946
1.0850,78,282.0500,292.5566
1.0900,78,307.6900,292.3999
1.0950,78,282.0500,292.2636
1.1000,78,282.0500,292.1959
1.1050,78,307.6900,292.2222
1.1100,78,282.0500,292.3460
1.1150,78,282.0500,292.5647
1.1200,78,307.6900,292.8524
1.1250,78,282.0500,293.1576
1.1300,78,307.6900,293.4327
1.1350,78,282.0500,293.6477
1.1400,78,307.6900,293.7874
1.1450,78,282.0500,293.8490
1.1500,78,307.6900,293.8412
1.1550,78,282.0500,293.7834
1.1600,78,307.6900,293.7054
1.1650,78,282.0500,293.6482
1.1700,78,282.0500,293.6481
1.1750,78,307.6900,293.7052
1.1800,78,282.0500,293.7832
1.1850,78,307.6900,293.8413
1.1900,78,282.0500,293.8496
1.1950,78,307.6900,293.7890
1.2000,78,282.0500,293.6509
1.2050,78,307.6900,293.4380
1.2100,78,282.0500,293.1656
1.2150,78,307.6900,292.8637
1.2200,78,282.0500,292.5797
1.2250,78,282.0500,292.3649
1.2300,78,307.6900,292.2450
1.2350,78,282.0500,292.2219
1.2400,78,282.0500,292.2912
1.2450,78,307.6900,292.4266
1.2500,78,282.0500,292.5786
1.2550,78,307.6900,292.7064
1.2600,78,282.0500,292.7922
1.2650,78,307.6900,292.8403
1.2700,78,282.0500,292.8761
1.2750,78,282.0500,292.9292
1.2800,78,307.6900,293.0010
1.2850,78,282.0500,293.0639
1.2900,78,307.6900,293.0929
1.2950,78,282.0500,293.0815
1.3000,78,307.6900,293.0412
1.3050,78,282.0500,293.0017
1.3100,78,282.0500,292.9949
1.3150,78,307.6900,293.0231
1.3200,78,282.0500,293.0588
1.3250,78,307.6900,293.0768
1.3300,78,282.0500,293.0706
1.3350,78,307.6900,293.0514
1.3400,78,282.0500,293.0489
1.3450,78,282.0500,293.0949
1.3500,78,307.6900,293.1905
1.3550,78,282.0500,293.3066
1.3600,78,307.6900,293.4144
1.3650,78,282.0500,293.5010
1.3700,78,307.6900,293.5681
1.3750,78,282.0500,293.6316
1.3800,78,282.0500,293.7041
1.3850,78,307.6900,293.7623
1.3900,78,307.6900,293.7625
1.3950,78,282.0500,293.7047
1.4000,78,282.0500,293.6326
1.4050,78,307.6900,293.5694
1.4100,78,282.0500,293.5022
1.4150,78,307.6900,293.4154
1.4200,78,282.0500,293.3071
1.4250,78,307.6900,293.1900
1.4300,78,282.0500,293.0928
1.4350,78,282.0500,293.0447
1.4400,78,307.6900,293.0443
1.4450,78,282.0500,293.0598
1.4500,78,307.6900,293.0619
1.4550,78,282.0500,293.0391
1.4600,78,307.6900,292.9985
1.4650,78,282.0500,292.9658
1.4700,78,282.0500,292.9691
1.4750,78,307.6900,293.0074
1.4800,78,282.0500,293.0500
1.4850,78,307.6900,293.0690
1.4900,78,282.0500,293.0548
1.4950,78,307.6900,293.0161
1.5000,78,282.0500,292.9801
1.5050,78,282.0500,292.9765
1.5100,78,307.6900,293.0053
1.5150,78,282.0500,293.0372
1.5200,78,307.6900,293.0454
1.5250,78,282.0500,293.0218
1.5300,78,307.6900,292.9768
1.5350,78,282.0500,292.9393
1.5400,78,282.0500,292.9414
1.5450,78,307.6900,292.9857
1.5500,78,282.0500,293.0460
1.5550,78,307.6900,293.0986
1.5600,78,282.0500,293.1381
1.5650,78,307.6900,293.1774
1.5700,78,282.0500,293.2464
1.5750,78,282.0500,293.3760
1.5800,78,307.6900,293.5647
1.5850,78,282.0500,293.7773
1.5900,78,307.6900,293.9756
1.5950,78,282.0500,294.1323
1.6000,78,307.6900,294.2295
1.6050,78,282.0500,294.2570
1.6100,78,307.6900,294.2112
1.6150,78,282.0500,294.0952
1.6200,78,307.6900,293.9191
1.6250,78,282.0500,293.7011
1.6300,78,307.6900,293.4690
1.6350,78,282.0500,293.2626
1.6400,78,282.0500,293.1196
1.6450,78,307.6900,293.0450
1.6500,78,282.0500,293.0128
1.6550,78,307.6900,292.9991
1.6600,78,282.0500,292.9984
1.6650,78,282.0500,293.0079
1.6700,78,307.6900,292.9953
1.6750,78,307.6900,292.9149
1.6800,78,282.0500,292.7723
1.6850,78,282.0500,292.6255
1.6900,78,307.6900,292.5213
1.6950,78,282.0500,292.4805
1.7000,78,282.0500,292.5149
1.7050,78,307.6900,292.6119
1.7100,78,282.0500,292.7334
1.7150,78,307.6900,292.8482
1.7200,78,282.0500,292.9464
1.7250,78,307.6900,293.0387
1.7300,78,282.0500,293.1550
1.7350,78,282.0500,293.3276
1.7400,78,307.6900,293.5571
1.7450,78,282.0500,293.8113
1.7500,78,307.6900,294.0547
1.7550,78,282.0500,294.2626
1.7600,78,307.6900,294.4187
1.7650,78,282.0500,294.5131
1.7700,78,307.6900,294.5406
1.7750,78,282.0500,294.5001
1.7800,78,307.6900,294.3942
1.7850,78,282.0500,294.2292
1.7900,78,307.6900,294.0170
1.7950,78,282.0500,293.7757
1.8000,78,307.6900,293.5324
1.8050,78,282.0500,293.3253
1.8100,78,282.0500,293.1894
1.8150,78,307.6900,293.1269
1.8200,78,282.0500,293.1078
1.8250,78,307.6900,293.1037
1.8300,78,282.0500,293.1036
1.8350,78,307.6900,293.1142
1.8400,78,282.0500,293.1601
1.8450,78,282.0500,293.2672
1.8500,78,307.6900,293.4298
1.8550,78,282.0500,293.6099
1.8600,78,307.6900,293.7676
1.8650,78,282.0500,293.8759
1.8700,78,307.6900,293.9190
1.8750,78,282.0500,293.8916
1.8800,78,307.6900,293.7983
1.8850,78,282.0500,293.6537
1.8900,78,307.6900,293.4837
1.8950,78,282.0500,293.3263
1.9000,78,282.0500,293.2175
1.9050,78,307.6900,293.1601
1.9100,78,282.0500,293.1248
1.9150,78,307.6900,293.0836
1.9200,78,282.0500,293.0256
1.9250,78,307.6900,292.9584
1.9300,78,282.0500,292.9079
1.9350,78,282.0500,292.9033
1.9400,78,307.6900,292.9447
